scenario,seed,variable,partition,old_lower,old_upper,point_clipping_rate,window_clipping_rate,point_count,window_count
AR-S1,4,1,train,-2.2906900525016143,2.279082864773441,0.02,0.5833333333333334,6000,6000
AR-S1,4,1,validation,-2.2906900525016143,2.279082864773441,0.0285,0.6195,2000,2000
AR-S1,4,1,test,-2.2906900525016143,2.279082864773441,0.021,0.5885,2000,2000
AR-S1,4,2,train,-2.257215117611226,2.3981551057401846,0.020166666666666666,0.6035,6000,6000
AR-S1,4,2,validation,-2.257215117611226,2.3981551057401846,0.0255,0.7375,2000,2000
AR-S1,4,2,test,-2.257215117611226,2.3981551057401846,0.0225,0.6955,2000,2000
AR-S2,0,0,train,-2.2392036121985504,2.3304662560063854,0.020166666666666666,0.5908333333333333,6000,6000
AR-S2,0,0,validation,-2.2392036121985504,2.3304662560063854,0.018,0.635,2000,2000
AR-S2,0,0,test,-2.2392036121985504,2.3304662560063854,0.0275,0.696,2000,2000
AR-S2,0,1,train,-2.278872923890555,2.4155175266174314,0.0205,0.6388333333333334,6000,6000
AR-S2,0,1,validation,-2.278872923890555,2.4155175266174314,0.018,0.505,2000,2000
AR-S2,0,1,test,-2.278872923890555,2.4155175266174314,0.024,0.6895,2000,2000
AR-S2,0,2,train,-2.2916930182100392,2.2940970227536126,0.0205,0.657,6000,6000
AR-S2,0,2,validation,-2.2916930182100392,2.2940970227536126,0.019,0.607,2000,2000
AR-S2,0,2,test,-2.2916930182100392,2.2940970227536126,0.0275,0.683,2000,2000
AR-S2,1,0,train,-2.303147638523005,2.2307844309591336,0.02,0.5373333333333333,6000,6000
AR-S2,1,0,validation,-2.303147638523005,2.2307844309591336,0.0205,0.5935,2000,2000
AR-S2,1,0,test,-2.303147638523005,2.2307844309591336,0.024,0.736,2000,2000
AR-S2,1,1,train,-2.382253556697118,2.1976954931311274,0.020166666666666666,0.6226666666666667,6000,6000
AR-S2,1,1,validation,-2.382253556697118,2.1976954931311274,0.0225,0.647,2000,2000
AR-S2,1,1,test,-2.382253556697118,2.1976954931311274,0.036,0.7555,2000,2000
AR-S2,1,2,train,-2.366730063244457,2.3065707433754934,0.02,0.6095,6000,6000
AR-S2,1,2,validation,-2.366730063244457,2.3065707433754934,0.021,0.5535,2000,2000
AR-S2,1,2,test,-2.366730063244457,2.3065707433754934,0.0145,0.6075,2000,2000
AR-S2,2,0,train,-2.3133211636758695,2.344471142114899,0.02033333333333333,0.5956666666666667,6000,6000
AR-S2,2,0,validation,-2.3133211636758695,2.344471142114899,0.016,0.575,2000,2000
AR-S2,2,0,test,-2.3133211636758695,2.344471142114899,0.0265,0.6505,2000,2000
AR-S2,2,1,train,-2.354143431190532,2.422729511205041,0.02,0.5925,6000,6000
AR-S2,2,1,validation,-2.354143431190532,2.422729511205041,0.018,0.532,2000,2000
AR-S2,2,1,test,-2.354143431190532,2.422729511205041,0.018,0.56,2000,2000
AR-S2,2,2,train,-2.3669960129718848,2.312013011057594,0.020166666666666666,0.6185,6000,6000
AR-S2,2,2,validation,-2.3669960129718848,2.312013011057594,0.014,0.499,2000,2000
AR-S2,2,2,test,-2.3669960129718848,2.312013011057594,0.0175,0.4885,2000,2000
AR-S2,3,0,train,-2.326804680537102,2.3631348952527333,0.020666666666666667,0.6508333333333334,6000,6000
AR-S2,3,0,validation,-2.326804680537102,2.3631348952527333,0.0245,0.705,2000,2000
AR-S2,3,0,test,-2.326804680537102,2.3631348952527333,0.026,0.736,2000,2000
AR-S2,3,1,train,-2.3280646473944784,2.262073526523283,0.02,0.6465,6000,6000
AR-S2,3,1,validation,-2.3280646473944784,2.262073526523283,0.021,0.585,2000,2000
AR-S2,3,1,test,-2.3280646473944784,2.262073526523283,0.0235,0.631,2000,2000
AR-S2,3,2,train,-2.4435492940513197,2.1917242862147535,0.02033333333333333,0.598,6000,6000
AR-S2,3,2,validation,-2.4435492940513197,2.1917242862147535,0.0175,0.5195,2000,2000
AR-S2,3,2,test,-2.4435492940513197,2.1917242862147535,0.017,0.635,2000,2000
AR-S2,4,0,train,-2.257957250031499,2.292153837567368,0.0205,0.6535,6000,6000
AR-S2,4,0,validation,-2.257957250031499,2.292153837567368,0.021,0.5835,2000,2000
AR-S2,4,0,test,-2.257957250031499,2.292153837567368,0.0235,0.652,2000,2000
AR-S2,4,1,train,-2.2906900525016143,2.279082864773441,0.02,0.5833333333333334,6000,6000
AR-S2,4,1,validation,-2.2906900525016143,2.279082864773441,0.0285,0.6195,2000,2000
AR-S2,4,1,test,-2.2906900525016143,2.279082864773441,0.021,0.5885,2000,2000
AR-S2,4,2,train,-2.257215117611226,2.3981551057401846,0.020166666666666666,0.6035,6000,6000
AR-S2,4,2,validation,-2.257215117611226,2.3981551057401846,0.0255,0.7375,2000,2000
AR-S2,4,2,test,-2.257215117611226,2.3981551057401846,0.0225,0.6955,2000,2000
AR-S3,0,0,train,-2.2392036121985504,2.3304662560063854,0.020166666666666666,0.5908333333333333,6000,6000
AR-S3,0,0,validation,-2.2392036121985504,2.3304662560063854,0.018,0.635,2000,2000
AR-S3,0,0,test,-2.2392036121985504,2.3304662560063854,0.0275,0.696,2000,2000
AR-S3,0,1,train,-2.278872923890555,2.4155175266174314,0.0205,0.6388333333333334,6000,6000
AR-S3,0,1,validation,-2.278872923890555,2.4155175266174314,0.018,0.505,2000,2000
AR-S3,0,1,test,-2.278872923890555,2.4155175266174314,0.024,0.6895,2000,2000
AR-S3,0,2,train,-2.2916930182100392,2.2940970227536126,0.0205,0.657,6000,6000
AR-S3,0,2,validation,-2.2916930182100392,2.2940970227536126,0.019,0.607,2000,2000
AR-S3,0,2,test,-2.2916930182100392,2.2940970227536126,0.0275,0.683,2000,2000
AR-S3,1,0,train,-2.303147638523005,2.2307844309591336,0.02,0.5373333333333333,6000,6000
AR-S3,1,0,validation,-2.303147638523005,2.2307844309591336,0.0205,0.5935,2000,2000
AR-S3,1,0,test,-2.303147638523005,2.2307844309591336,0.024,0.736,2000,2000
AR-S3,1,1,train,-2.382253556697118,2.1976954931311274,0.020166666666666666,0.6226666666666667,6000,6000
AR-S3,1,1,validation,-2.382253556697118,2.1976954931311274,0.0225,0.647,2000,2000
AR-S3,1,1,test,-2.382253556697118,2.1976954931311274,0.036,0.7555,2000,2000
AR-S3,1,2,train,-2.366730063244457,2.3065707433754934,0.02,0.6095,6000,6000
AR-S3,1,2,validation,-2.366730063244457,2.3065707433754934,0.021,0.5535,2000,2000
AR-S3,1,2,test,-2.366730063244457,2.3065707433754934,0.0145,0.6075,2000,2000
AR-S3,2,0,train,-2.3133211636758695,2.344471142114899,0.02033333333333333,0.5956666666666667,6000,6000
AR-S3,2,0,validation,-2.3133211636758695,2.344471142114899,0.016,0.575,2000,2000
AR-S3,2,0,test,-2.3133211636758695,2.344471142114899,0.0265,0.6505,2000,2000
AR-S3,2,1,train,-2.354143431190532,2.422729511205041,0.02,0.5925,6000,6000
AR-S3,2,1,validation,-2.354143431190532,2.422729511205041,0.018,0.532,2000,2000
AR-S3,2,1,test,-2.354143431190532,2.422729511205041,0.018,0.56,2000,2000
AR-S3,2,2,train,-2.3669960129718848,2.312013011057594,0.020166666666666666,0.6185,6000,6000
AR-S3,2,2,validation,-2.3669960129718848,2.312013011057594,0.014,0.499,2000,2000
AR-S3,2,2,test,-2.3669960129718848,2.312013011057594,0.0175,0.4885,2000,2000
AR-S3,3,0,train,-2.326804680537102,2.3631348952527333,0.020666666666666667,0.6508333333333334,6000,6000
AR-S3,3,0,validation,-2.326804680537102,2.3631348952527333,0.0245,0.705,2000,2000
AR-S3,3,0,test,-2.326804680537102,2.3631348952527333,0.026,0.736,2000,2000
AR-S3,3,1,train,-2.3280646473944784,2.262073526523283,0.02,0.6465,6000,6000
AR-S3,3,1,validation,-2.3280646473944784,2.262073526523283,0.021,0.585,2000,2000
AR-S3,3,1,test,-2.3280646473944784,2.262073526523283,0.0235,0.631,2000,2000
AR-S3,3,2,train,-2.4435492940513197,2.1917242862147535,0.02033333333333333,0.598,6000,6000
AR-S3,3,2,validation,-2.4435492940513197,2.1917242862147535,0.0175,0.5195,2000,2000
AR-S3,3,2,test,-2.4435492940513197,2.1917242862147535,0.017,0.635,2000,2000
AR-S3,4,0,train,-2.257957250031499,2.292153837567368,0.0205,0.6535,6000,6000
AR-S3,4,0,validation,-2.257957250031499,2.292153837567368,0.021,0.5835,2000,2000
AR-S3,4,0,test,-2.257957250031499,2.292153837567368,0.0235,0.652,2000,2000
AR-S3,4,1,train,-2.2906900525016143,2.279082864773441,0.02,0.5833333333333334,6000,6000
AR-S3,4,1,validation,-2.2906900525016143,2.279082864773441,0.0285,0.6195,2000,2000
AR-S3,4,1,test,-2.2906900525016143,2.279082864773441,0.021,0.5885,2000,2000
AR-S3,4,2,train,-2.257215117611226,2.3981551057401846,0.020166666666666666,0.6035,6000,6000
AR-S3,4,2,validation,-2.257215117611226,2.3981551057401846,0.0255,0.7375,2000,2000
AR-S3,4,2,test,-2.257215117611226,2.3981551057401846,0.0225,0.6955,2000,2000
AR-S4,0,0,train,-2.2392036121985504,2.3304662560063854,0.020166666666666666,0.5908333333333333,6000,6000
AR-S4,0,0,validation,-2.2392036121985504,2.3304662560063854,0.018,0.635,2000,2000
AR-S4,0,0,test,-2.2392036121985504,2.3304662560063854,0.0275,0.696,2000,2000
AR-S4,0,1,train,-2.278872923890555,2.4155175266174314,0.0205,0.6388333333333334,6000,6000
AR-S4,0,1,validation,-2.278872923890555,2.4155175266174314,0.018,0.505,2000,2000
AR-S4,0,1,test,-2.278872923890555,2.4155175266174314,0.024,0.6895,2000,2000
AR-S4,0,2,train,-2.2916930182100392,2.2940970227536126,0.0205,0.657,6000,6000
AR-S4,0,2,validation,-2.2916930182100392,2.2940970227536126,0.019,0.607,2000,2000
AR-S4,0,2,test,-2.2916930182100392,2.2940970227536126,0.0275,0.683,2000,2000
AR-S4,1,0,train,-2.303147638523005,2.2307844309591336,0.02,0.5373333333333333,6000,6000
AR-S4,1,0,validation,-2.303147638523005,2.2307844309591336,0.0205,0.5935,2000,2000
AR-S4,1,0,test,-2.303147638523005,2.2307844309591336,0.024,0.736,2000,2000
AR-S4,1,1,train,-2.382253556697118,2.1976954931311274,0.020166666666666666,0.6226666666666667,6000,6000
AR-S4,1,1,validation,-2.382253556697118,2.1976954931311274,0.0225,0.647,2000,2000
AR-S4,1,1,test,-2.382253556697118,2.1976954931311274,0.036,0.7555,2000,2000
AR-S4,1,2,train,-2.366730063244457,2.3065707433754934,0.02,0.6095,6000,6000
AR-S4,1,2,validation,-2.366730063244457,2.3065707433754934,0.021,0.5535,2000,2000
AR-S4,1,2,test,-2.366730063244457,2.3065707433754934,0.0145,0.6075,2000,2000
AR-S4,2,0,train,-2.3133211636758695,2.344471142114899,0.02033333333333333,0.5956666666666667,6000,6000
AR-S4,2,0,validation,-2.3133211636758695,2.344471142114899,0.016,0.575,2000,2000
AR-S4,2,0,test,-2.3133211636758695,2.344471142114899,0.0265,0.6505,2000,2000
AR-S4,2,1,train,-2.354143431190532,2.422729511205041,0.02,0.5925,6000,6000
AR-S4,2,1,validation,-2.354143431190532,2.422729511205041,0.018,0.532,2000,2000
AR-S4,2,1,test,-2.354143431190532,2.422729511205041,0.018,0.56,2000,2000
AR-S4,2,2,train,-2.3669960129718848,2.312013011057594,0.020166666666666666,0.6185,6000,6000
AR-S4,2,2,validation,-2.3669960129718848,2.312013011057594,0.014,0.499,2000,2000
AR-S4,2,2,test,-2.3669960129718848,2.312013011057594,0.0175,0.4885,2000,2000
AR-S4,3,0,train,-2.326804680537102,2.3631348952527333,0.020666666666666667,0.6508333333333334,6000,6000
AR-S4,3,0,validation,-2.326804680537102,2.3631348952527333,0.0245,0.705,2000,2000
AR-S4,3,0,test,-2.326804680537102,2.3631348952527333,0.026,0.736,2000,2000
AR-S4,3,1,train,-2.3280646473944784,2.262073526523283,0.02,0.6465,6000,6000
AR-S4,3,1,validation,-2.3280646473944784,2.262073526523283,0.021,0.585,2000,2000
AR-S4,3,1,test,-2.3280646473944784,2.262073526523283,0.0235,0.631,2000,2000
AR-S4,3,2,train,-2.4435492940513197,2.1917242862147535,0.02033333333333333,0.598,6000,6000
AR-S4,3,2,validation,-2.4435492940513197,2.1917242862147535,0.0175,0.5195,2000,2000
AR-S4,3,2,test,-2.4435492940513197,2.1917242862147535,0.017,0.635,2000,2000
AR-S4,4,0,train,-2.257957250031499,2.292153837567368,0.0205,0.6535,6000,6000
AR-S4,4,0,validation,-2.257957250031499,2.292153837567368,0.021,0.5835,2000,2000
AR-S4,4,0,test,-2.257957250031499,2.292153837567368,0.0235,0.652,2000,2000
AR-S4,4,1,train,-2.2906900525016143,2.279082864773441,0.02,0.5833333333333334,6000,6000
AR-S4,4,1,validation,-2.2906900525016143,2.279082864773441,0.0285,0.6195,2000,2000
AR-S4,4,1,test,-2.2906900525016143,2.279082864773441,0.021,0.5885,2000,2000
AR-S4,4,2,train,-2.257215117611226,2.3981551057401846,0.020166666666666666,0.6035,6000,6000
AR-S4,4,2,validation,-2.257215117611226,2.3981551057401846,0.0255,0.7375,2000,2000
AR-S4,4,2,test,-2.257215117611226,2.3981551057401846,0.0225,0.6955,2000,2000
